Name,ID,HomePlanet,BloodSample
 Bekele Prakash, 8385864, Censa III,  +--------+  |oopc ooc|  |oc i ici|  |p c   ic|  |p p co p|  |coc  i o|  |o cp pp |  +--------+
 Xiaowei Morales, 9781607, Gamma Crus,  +--------+  |o   p oc|  |i c pi i|  |ii oppc |  |opc c p |  |c i   co|  |p oc ici|  +--------+
 Habiba Duarte, 8678477, Venis VII,  +--------+  |iip  cop|  |p iipp  |  | o  c ii|  |  o coo |  |  cpc po|  |  ciip c|  +--------+
 Konstantin Akbar, 4164516, Hydroma VII,  +--------+  |p icicop|  |pi ip   |  |  ppp i |  | popcpp |  |pii poi |  |p p o pc|  +--------+
 Helena Santos, 4941108, Alpha Beron,  +--------+  |pip ccoi|  |p op p o|  |icc o i |  | ip iic |  |cp o ipo|  | o  c co|  +--------+
 Cynthia Rosa, 7012307, Marius IV,  +--------+  | ci  po |  |pc p cii|  |oc c c  |  | i co o |  |pp i cii|  |i oo   o|  +--------+
 Raimundo Rehman, 7867101, Beta Menta,  +--------+  |po  o  p|  |iopc io |  |o  ppocc|  |opoi  p |  |ipo ocpi|  |p p   pi|  +--------+
 Zahra Ouattara, 3880265, Alpha Phoensa,  +--------+  |p  icc i|  |poo ppco|  |pci    c|  |picpppi |  |c cc p  |  |  o  o o|  +--------+
 Kenji Khan, 7156796, Alpha Forvus,  +--------+  |c iio cp|  |iicccc p|  |c ppcii |  |cco icpo|  | ipci  p|  |coccopp |  +--------+
 Claudio Martinez, 4815877, Boralis,  +--------+  |ooccpop |  |oopcc  i|  |i  o ppp|  |i ipoppo|  |  coo   |  |iopcic i|  +--------+
 Felipe Salas, 9964940, Orcula,  +--------+  |oicpp p |  |o ipooci|  | pi ipio|  |oc ip oi|  | o  o o |  |coo  i  |  +--------+
 Dominique Zheng, 2400766, Virius,  +--------+  |cop ooop|  |poipp  i|  | cp   ci|  |oopp  o |  | c p   c|  |ioc  p i|  +--------+
 Susana Aydin, 4974374, Eariga VI,  +--------+  |c cpcppc|  | pccipic|  |p iipi  |  | p pcc p|  | iiiopoc|  | cipicco|  +--------+
